id,date,views,forwards,edit_date,item,item_name,address,amount,currency
2221,2022-02-07,1680,2,2022-07-28,0-h6, حویلی , مزارشریف: ظهرالدین فاریابی, فروش | فی متر 150$ با جور آمد   ,Dollar
2212,2022-02-07,1645,0,2022-02-07,0-h146, حویلی , مزارشریف: دشت شور," فروش | 40,000$ با جور آمد   ",Dollar
2204,2022-02-06,1643,1,2022-04-24,0-h137, حویلی , مزارشریف: شهرک خالد  ," فروش | 65,000$ با جور آمد   ",Dollar
2194,2022-02-06,1670,0,2022-02-06,0-K99, زمین , بلخ: ولسوالی دهدادی , فروش | فی متر $34   ,Dollar
2190,2022-02-05,1715,0,2022-02-05,0-h187, حویلی , مزارشریف: شهرک خالد  ," فروش | 40,000$ با جور آمد   ",Dollar
2181,2022-02-05,1660,2,2022-05-04,0-h186, حویلی , مزارشریف: کارته آریانا  ," فروش | 50,000$ با جور آمد   ",Dollar
2176,2022-02-04,1646,0,2022-05-28,0-h184, حویلی , مزارشریف: شهرک خالد  ," فروش | 48,000$ با جور آمد   ",Dollar
2174,2022-02-04,1666,0,2022-02-04,0-h113, حویلی , مزارشریف: شهرک خالد  ," فروش | 37,000$ با جور آمد   ",Dollar
2164,2022-02-03,1648,0,2022-02-03,0-K98, زمین , مزارشریف: گذر چغدک  , فروش | فی متر $125   ,Dollar
2162,2022-02-03,1650,1,2022-02-03,0-h185, حویلی , مزارشریف: شهرک خالد  ," فروش | 65,000$ با جور آمد   ",Dollar
2153,2022-02-03,1631,0,2022-02-03,#0-h177, حویلی , مزارشریف: شورتاکزار  ," فروش | 95,000$ با جور آمد   ",Dollar
2145,2022-02-02,1688,3,2022-02-02,0-H181 ,  حویلی , مزارشریف: چوک کامگار," فروش | 165,000$ با جور آمد   ",Dollar
2143,2022-02-02,1719,0,2022-02-02,0-H177 ,  حویلی , مزارشریف: شورتاکزار," فروش | 95,000$ با جور آمد   ",Dollar
2134,2022-02-01,1651,0,2022-02-01,0-H184 ,  حویلی , مزارشریف: شهرک خالد ," فروش | 40,000$ با جور آمد   ",Dollar
2125,2022-02-01,1601,0,2022-02-01,0-K83 ,, ، مزارشریف ، نو آباد," فروش | 28,000$ با جور آمد   ",Dollar
2124,2022-01-31,1635,0,2022-09-30,0-H142 ,,," قیمت فروش (36,000$) ",Dollar
2104,2022-01-30,1664,0,2022-01-30,0-H135 ,, مزارشریف ، کمر بند سیاگرد," فروش | 23,000$ با جور آمد   ",Dollar
2053,2022-01-25,1582,0,2022-03-14,0-H29 ,, مزارشریف ، کارته ایشانی, فروش | فی متر 65$ با جور آمد   ,Dollar
