id,date,views,forwards,edit_date,reactions.results,media.photo.date,media.photo.sizes,cleaned_message,category,status,measurement,city,area,amount,currency
2812,2022-03-20,1778,1,2022-03-20,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 3, 'chosen_order': None}]",,,"کـــود 0-GB5   بلاک    مزارشریف: چوک فردوسی    گروی | 12,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","گروی, گرو, ",,مزارشریف,,12000,$
2807,2022-03-19,1641,0,2022-03-25,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}]",,,"کـــود 0-DG1   دکان     مزارشریف: خراسان مارکیت    گروی | 12,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, دکان","گروی, گرو, ",,مزارشریف,,12000,$
2806,2022-03-19,1697,0,2022-11-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-GB9   بلاک    مزارشریف: تخنیکم    گروی | 12,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","گروی, گرو, ",,مزارشریف,,12000,$
2797,2022-03-18,1726,1,2022-11-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-h187   حویلی   مزارشریف: شهرک خالد    فروش | 40,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,40000,$
2790,2022-03-17,1680,0,2022-03-17,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 6, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 2, 'chosen_order': None}]",,,"کـــود 0-h209   حویلی   مزارشریف: سرک چهل متره آشیانه  فروش |  315,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",متر,مزارشریف,,315000,$
2780,2022-03-17,1633,1,2022-11-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-h206   حویلی   مزارشریف: شهرک خالد  فروش | 50,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,50000,$
2770,2022-03-16,1636,0,2022-03-16,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 4, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🔥'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-h208   حویلی   مزارشریف: نوبهار  فروش | 155,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,155000,$
2760,2022-03-16,1604,1,2022-03-16,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🔥'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-S7   گدام   مزارشریف: چوک نور      فروشی | 75,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999",زمین,"فروش, ",,مزارشریف,,75000,$
2754,2022-03-15,1589,0,2022-03-16,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}]",,,"کـــود 0-h207   حویلی   شهرک خالد  فروش | 100,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,شهرک خالد,100000,$
2744,2022-03-15,1586,0,2022-11-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '💯'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-hg42   حویلی گروی   مزارشریف:کارته عدالت    گروی | 15,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","گروی, گرو, ",,مزارشریف,,15000,$
2731,2022-03-14,1611,3,2022-03-14,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 2, 'chosen_order': None}]",,,"کـــود 0-h205   حویلی   مزارشریف: نور خدا    فروش | 8,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,8000,$
2725,2022-03-13,1612,0,2022-03-13,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 2, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 2, 'chosen_order': None}]",,,"کـــود 0-d5   دکان   مزارشریف: سرک محقق    فروش | 50,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, دکان","فروش, ",,مزارشریف,,50000,$
2719,2022-03-13,1611,1,2022-03-13,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 5, 'chosen_order': None}]",,,"کـــود 0-h186   حویلی   مزارشریف: کارته آریانا    فروش | 50,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,50000,$
2713,2022-03-12,1646,2,2022-03-13,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}]",,,"کـــود 0-h191   حویلی  مزارشریف: دشت شور   فروشی | 60,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,60000,$
2705,2022-03-12,1550,0,2022-03-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🔥'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-b31    بلاک منزل اول  شهرک خالد  فروش | 22,500$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","فروش, ",,مزارشریف,شهرک خالد,22500,$
2698,2022-03-11,1574,0,2022-03-12,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 4, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🔥'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0-b28   بلاک   جوار تفاوصات  فروش | 45,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","فروش, ",,مزارشریف,جوار تفاحصات,45000,$
2688,2022-03-11,1605,0,2022-03-26,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 2, 'chosen_order': None}]",,,"کـــود 0-b29   بلاک داری ۶ منزل  کارته آریانا , لب سرک قیر  فروش | 295,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","زمین, بلاک","فروش, ",,مزارشریف,کارته آریانا,295000,$
2678,2022-03-10,1624,0,2022-03-10,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 2, 'chosen_order': None}]",,,"کـــود 0-h189   حویلی   شهرک خالد   فروش | 78,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,شهرک خالد,78000,$
2668,2022-03-09,1633,0,2022-06-25,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 2, 'chosen_order': None}]",,,کـــود 0-k55   زمین   مزارشریف: گذر چغدک     فروشی | 95$ فی متر    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999,زمین,"فروش, ",متر,مزارشریف,,95,$
2666,2022-03-09,1649,2,2022-03-09,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 6, 'chosen_order': None}]",,,"کـــود 0-h137   حویلی   مزارشریف: شهرک خالد    فروش | 65,000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0798576666  |  0784979999","حویلی, زمین","فروش, ",,مزارشریف,,65000,$
